agency,facility,CDCR_facility,death_agency_full_name,death_agency_number,State_Agency,CntyCode,County,Code,Start,End
Department of Pesticide Regulation,Orange Coast DPR,,,,Orange Coast DPR,30,Orange County,3032,1/1/1985,
Department of Pesticide Regulation,Pajaro Coast DPR,,,,Pajaro Coast DPR,44,Santa Cruz County,4407,1/1/1985,12/31/1992
California Department of Corrections,Parole & Community Services Division,PAROLE & COMMUNITY SVS DIV,,,,,,,,
California Department of State Hospitals,Patton State Hospital,,Patton State Hospital,36015M,Patton State Hospital,36,San Bernardino County,3657,1/1/2008,
California Department of Corrections,Pelican Bay State Prison,PELICAN BAY STATE PRISON,Pelican Bay State Prison,08015C,,,,,,
Department of Pesticide Regulation,Pendleton Coast DPR,,,,Pendleton Coast DPR,30,Orange County,3033,1/1/1985,12/31/1992
Department of Pesticide Regulation,Picacho DPR,,,,Picacho DPR,33,Riverside County,3328,1/1/1985,12/31/1992
California Department of Corrections,Pine Grove Youth Conservation Camp,PINE GROVE YTH CONS CAMP,,,,,,,,
California Department of Corrections,Pleasant Valley State Prison,PLEASANT VALLEY STATE PRISON,Pleasant Valley State Prison,10015C,,,,,,
Department of Pesticide Regulation,Plumas-Eureka DPR,,,,Plumas-Eureka DPR,32,Plumas County,3202,1/1/1985,12/31/1992
California Department of Developmental Services,Porterville Developmental Center,,Porterville Developmental Center,160600,,,,,,
California Department of Corrections,Preston School of Industry,PRESTON SCHOOL OF INDUSTRY,,,,,,,,
California Department of Corrections,R. J. Donovan Correctional Facility,R J DONOVAN CORR FACILITY,R. J. Donovan Correctional Facility,37015C,,,,,,
California Department of Corrections,Rehabilitation Center,REHABILITATION CENTER,,,,,,,,
California Department of Corrections,Richard A McGee Correctional Training Center,RA MCGEE CORR TRAIN CNTR,,,,,,,,
California Department of Corrections,Richard A McGee Correctional Training Center,RICHARD A MCGEE CORR TR CENTER,,,,,,,,
California Department of Corrections,Salinas Valley - PIP,SALINAS VALLEY - PIP,,,,,,,,
California Department of Corrections,Salinas Valley State Prison,SALINAS VALLEY STATE PRISON,Salinas Valley State Prison,27025C,,,,,,
Department of Pesticide Regulation,Salton Sea DPR,,,,Salton Sea DPR,33,Riverside County,3327,1/1/1985,12/31/1992
Department of Pesticide Regulation,San Diego Coast DPR,,,,San Diego Coast DPR,37,San Diego County,3725,1/1/1985,
Bay Area Rapid Transit Police Department,San Francisco BART,,,,San Francisco BART,38,San Francisco County,3805,,
Department of Pesticide Regulation,San Francisco DPR,,,,San Francisco DPR,38,San Francisco County,3810,1/1/1985,12/31/1992
Department of Pesticide Regulation,San Joaquin DPR,,,,San Joaquin DPR,10,Fresno County,1030,1/1/1985,
Department of Pesticide Regulation,San Luis Obispo Coast DPR,,,,San Luis Obispo Coast DPR,40,San Luis Obispo County,4013,1/1/1985,
Department of Pesticide Regulation,San Luis Obispo DPR,,,,San Luis Obispo DPR,40,San Luis Obispo County,4012,8/1/21,
Bay Area Rapid Transit Police Department,San Mateo BART,,,,San Mateo BART,41,San Mateo County,4123,,
California Department of Corrections,San Quentin State Prison,SAN QUENTIN STATE PRISON,San Quentin State Prison,21015C,,,,,,
Department of Pesticide Regulation,San Simeon DPR,,,,San Simeon DPR,40,San Luis Obispo County,4012,1/1/1985,12/31/2003
Bay Area Rapid Transit Police Department,Santa Clara BART,,,,Santa Clara BART,43,Santa Clara County,4338,6/1/20,
Department of Pesticide Regulation,Santa Cruz Mtns. DPR,,,,Santa Cruz Mtns. DPR,44,Santa Cruz County,4408,1/1/1985,
California Department of Corrections,Sierra Conservation Center,SIERRA CONSERVATION CENTER,Sierra Conservation Center,55015C,,,,,,
Department of Pesticide Regulation,Sierra DPR,,,,Sierra DPR,31,Placer County,3107,1/1/1985,
Department of Pesticide Regulation,Sonoma Mendocino Coast DPR,,,,Sonoma Mendocino Coast DPR,49,Sonoma County,4912,1/1/1985,
California Department of Corrections,Southern Reception Center,SOUTHERN RECEPTION CENTER,,,,,,,,
California Department of Corrections,Southern Region,SOUTHERN REGION,,,,,,,,
California Department of State Hospitals,Stockton Developmental Center,,Stockton Developmental Center,391400,,,,,,
Department of Pesticide Regulation,Tehachapi DPR,,,,Tehachapi DPR,36,San Bernardino County,3659,1/1/2009,
Department of Pesticide Regulation,Twin Cities DPR,,,,Twin Cities DPR,34,Sacramento County,3433,1/1/1990,1/1/20
Department of Pesticide Regulation,Upper Valley DPR,,,,Upper Valley DPR,4,Butte County,409,7/1/1987,12/31/1992
California Department of Corrections,Valley State Prison,VALLEY STATE PRISON,Valley State Prison,20045C,,,,,,
California Department of Corrections,Valley State Prison for Women,,Valley State Prison for Women,20045C,,,,,,
California Department of Corrections,Ventura School for Girls,VENTURA SCHOOL FOR GIRLS,,,,,,,,
California Department of Corrections,WSP/Shafter Community Correctional Facility,,WSP/Shafter Community Correctional Facility,15025C,,,,,,
California Department of Corrections,Wasco State Prison,,Wasco State Prison,15025C,,,,,,
California Department of Corrections,Youth Authority/Administration,YOUTH AUTHORITY/ADMINISTRATION,,,,,,,,
California Department of Corrections,Youth Training School,YOUTH TRAINING SCHOOL,,,,,,,,
