NCIC,ORI,Primary Name,Alternate URSUS Name,URSUS Agency Name,County
nan,,San Francisco Department of Emergency Management,,,San Francisco
6839,CA038023G,San Francisco Juvenile Probation Department,,,San Francisco
7038,,San Francisco Medical Examiner,,,San Francisco
nan,,San Francisco Municipal Railway Police Department,,,San Francisco
nan,,San Francisco Police Commission,,,San Francisco
3801,CA0380100,San Francisco Police Department,,,San Francisco
3897,CA0389700,UC San Francisco Police Department,,,San Francisco
3901,CA0390100,Escalon Police Department,,,San Joaquin
nan,,Lathrop Police Department,,,San Joaquin
3902,CA0390200,Lodi Police Department,,,San Joaquin
3903,CA0390300,Manteca Police Department,,,San Joaquin
nan,,Port of Stockton Police Department,,,San Joaquin
3904,CA0390400,Ripon Police Department,,,San Joaquin
6339,CA039023A,San Joaquin County District Attorney,,,San Joaquin
nan,,San Joaquin County Marshal Office,,,San Joaquin
nan,,San Joaquin County Office of the Medical Examiner,,,San Joaquin
3900,CA0390000,San Joaquin County Sheriff,,,San Joaquin
nan,CA0390800,San Joaquin Delta Community College District Police Department,,,San Joaquin
3905,CA0390500,Stockton Police Department,,,San Joaquin
3915,CA0391500,Stockton Unified School District Police Department,,,San Joaquin
3906,CA0390600,Tracy Police Department,,,San Joaquin
4001,CA0400100,Arroyo Grande Police Department,,,San Luis Obispo
4008,CA0400800,Atascadero Police Department,,,San Luis Obispo
4007,CA0400700,CSU San Luis Obispo Police Department,,,San Luis Obispo
4019,CA0401900,Cuesta Community College District Department of Public Safety,,,San Luis Obispo
4002,CA0400200,Grover Beach Police Department,,,San Luis Obispo
4003,CA0400300,Morro Bay Police Department,,,San Luis Obispo
4004,CA0400400,Paso Robles Police Department,,,San Luis Obispo
4005,CA0400500,Pismo Beach Police Department,,,San Luis Obispo
nan,,Port San Luis Harbor Patrol,,,San Luis Obispo
nan,,San Luis Obispo County Airport Police Department,,,San Luis Obispo
6340,CA040013A,San Luis Obispo County District Attorney,,,San Luis Obispo
4000,CA0400000,San Luis Obispo County Sheriff,,,San Luis Obispo
4006,CA0400600,San Luis Obispo Police Department,,,San Luis Obispo
4101,CA0410100,Atherton Police Department,,,San Mateo
4102,CA0410200,Belmont Police Department,,,San Mateo
4103,CA0410300,Brisbane Police Department,,,San Mateo
4119,CA0411900,Broadmoor Police Department,,,San Mateo
4104,CA0410400,Burlingame Police Department,,,San Mateo
4105,CA0410500,Colma Police Department,,,San Mateo
4106,CA0410600,Daly City Police Department,,,San Mateo
4127,,East Palo Alto Police Department,,,San Mateo
4120,CA0412000,Foster City Police Department,,,San Mateo
nan,,Half Moon Bay Police Department,,,San Mateo
4108,CA0410800,Hillsborough Police Department,,,San Mateo
4109,CA0410900,Menlo Park Police Department,,,San Mateo
nan,,Millbrae Police Department,,,San Mateo
4111,CA0411100,Pacifica Police Department,,,San Mateo
4113,CA0411300,Redwood City Police Department,,,San Mateo
4114,CA0411400,San Bruno Police Department,,,San Mateo
nan,,San Carlos Police Department,,,San Mateo
nan,,San Francisco Airport Police Department,,,San Mateo
nan,,San Francisco International Airport Communications ,,,San Mateo
7041,,San Mateo County Coroner's Office,,,San Mateo
6341,CA041013A,San Mateo County District Attorney,,,San Mateo
6842,CA041013G,San Mateo County Probation Department,,,San Mateo
nan,,San Mateo County Public Safety Communications Center,,,San Mateo
4100,CA0410000,San Mateo County Sheriff,,,San Mateo
4116,CA0411600,San Mateo Police Department,,,San Mateo
4117,CA0411700,South San Francisco Police Department,,,San Mateo
4211,CA0421100,Allan Hancock Community College Police Department,,,Santa Barbara
nan,,Carpinteria Police Department,,,Santa Barbara
4201,CA0420100,Guadalupe Police Department,,,Santa Barbara
4202,CA0420200,Lompoc Police Department,,,Santa Barbara
6577,,Santa Barbara Airport Patrol,,,Santa Barbara
6342,CA042013A,Santa Barbara County District Attorney,,,Santa Barbara
nan,,Santa Barbara County Marshal Office,,,Santa Barbara
nan,,Santa Barbara County Probation Department,,,Santa Barbara
4200,CA0420000,Santa Barbara County Sheriff,,,Santa Barbara
nan,,Santa Barbara County Welfare Fraud,,,Santa Barbara
nan,,Santa Barbara Harbor Patrol,,,Santa Barbara
4203,CA0420300,Santa Barbara Police Department,,,Santa Barbara
4204,CA0420400,Santa Maria Police Department,,,Santa Barbara
4297,CA0429700,UC Santa Barbara Police Department,,,Santa Barbara
4317,CA0431700,CSU San Jose Police,,,Santa Clara
4302,CA0430200,Campbell Police Department,,,Santa Clara
nan,,County of Santa Clara Medical Examiner,,,Santa Clara
4327,CA0432700,Foothill-De Anza College District Police Department,,,Santa Clara
4304,CA0430400,Gilroy Police Department,,,Santa Clara
4305,CA0430500,Los Altos Police Department,,,Santa Clara
nan,,Los Gatos Monte Sereno Police Department,,,Santa Clara
4308,CA0430800,Milpitas Police Department,,,Santa Clara
4310,CA0431000,Morgan Hill Police Department,,,Santa Clara
nan,,Mountain View Emergency Operations Center,,,Santa Clara
4311,CA0431100,Mountain View Police Department,,,Santa Clara
4312,CA0431200,Palo Alto Police Department,,,Santa Clara
nan,,San Jose Airport Security Police,,,Santa Clara
4320,,San Jose Evergreen Community College District Police Department,,,Santa Clara
nan,,San Jose Independent Police Auditor,,,Santa Clara
4313,CA0431300,San Jose Police Department,,,Santa Clara
6647,,San Jose Unified School District,,,Santa Clara
nan,,Santa Clara County 9-1-1 Communications Department,,,Santa Clara
6343,CA043013A,Santa Clara County Office of the District Attorney,,,Santa Clara
4300,CA0430000,Santa Clara County Sheriff,,,Santa Clara
4314,CA0431400,Santa Clara Police Department,,,Santa Clara
4316,CA0431600,Sunnyvale Police Department,,,Santa Clara
4321,CA0433700,West Valley-Mission Community College District Police Department,,,"Santa Clara, Santa Cruz"
nan,,Cabrillo College Police Department,,,Santa Cruz
4401,CA0440100,Capitola Police Department,,,Santa Cruz
6344,,Santa Cruz County District Attorney,,,Santa Cruz
4400,CA0440000,Santa Cruz County Sheriff,,,Santa Cruz
4402,CA0440200,Santa Cruz Police Department,,,Santa Cruz
4404,CA0440400,Scotts Valley Police Department,,,Santa Cruz
4497,CA0449700,UC Santa Cruz Police Department,,,Santa Cruz
nan,,Waterford Police Services,,,Santa Cruz
4403,CA0440300,Watsonville Police Department,,,Santa Cruz
4501,CA0450100,Anderson Police Department,,,Shasta
4502,CA0450200,Redding Police Department,,,Shasta
nan,,Shasta Area Safety Communications Agency,,,Shasta
nan,,Shasta County Coroner's Office,,,Shasta
6345,CA045013A,Shasta County District Attorney,,,Shasta
nan,,Shasta County Marshal's Office,,,Shasta
4500,CA0450000,Shasta County Sheriff,,,Shasta
nan,,Sierra College Department of Community Safety,,,Sierra
nan,,Sierra County District Attorneys Office,,,Sierra
6847,,Sierra County Probation Department,,,Sierra
4600,CA0460000,Sierra County Sheriff,,,Sierra
nan,,Dorris Police Department,,,Siskiyou
nan,,Dunsmuir Police Department,,,Siskiyou
4703,CA0470300,Etna Police Department,,,Siskiyou
nan,,Fort Jones Police Department,,,Siskiyou
4710,CA0471000,Lake Shastina Police Department,,,Siskiyou
nan,,Montague Police Department,,,Siskiyou
4706,CA0470600,Mt. Shasta Police Department,,,Siskiyou
6347,CA047023A,Siskiyou County District Attorney,,,Siskiyou
6848,CA047013G,Siskiyou County Probation Department,,,Siskiyou
4700,CA0470000,Siskiyou County Sheriff,,,Siskiyou
4707,CA0470700,Tulelake Police Department,,,Siskiyou
4708,CA0470800,Weed Police Department,,,Siskiyou
4709,CA0470900,Yreka Police Department,,,Siskiyou
4801,CA0480100,Benicia Police Department,,,Solano
nan,CA0481500,CSU Maritime Police Department,,,Solano
4802,CA0480200,Dixon Police Department,,,Solano
4803,CA0480300,Fairfield Police Department,,,Solano
4804,CA0480400,Rio Vista Police Department,,,Solano
4813,,Solano Community College Police Department,,,Solano
nan,,Solano County Coroner’s Office,,,Solano
6448,,Solano County Department of Health and Social Services Special Investigations Bureau,,,Solano
6348,CA048013A,Solano County District Attorney,,,Solano
nan,,Solano County Marshal Office,,,Solano
6849,,Solano County Probation Department,,,Solano
4800,CA0480000,Solano County Sheriff,,,Solano
4805,CA0480500,Suisun City Police Department,,,Solano
4806,CA0480600,Vacaville Police Department,,,Solano
4807,CA0480700,Vallejo Police Department,,,Solano
4909,CA0490900,CSU Sonoma Police Department,,,Sonoma
4901,CA0490100,Cloverdale Police Department,,,Sonoma
4902,CA0490200,Cotati Police Department,,,Sonoma
4903,CA0490300,Healdsburg Police Department,,,Sonoma
4908,CA0490800,Petaluma Police Department,,,Sonoma
4904,CA0490400,Rohnert Park Police Department,,,Sonoma
nan,CA0491400,Santa Rosa Junior College Police Department,,,Sonoma
4905,CA0490500,Santa Rosa Police Department,,,Sonoma
4906,CA0490600,Sebastopol Police Department,,,Sonoma
4914,,Sonoma County Community College District Police Department,,,Sonoma
6349,CA049013A,Sonoma County District Attorney,,,Sonoma
6850,CA049013G,Sonoma County Probation Department,,,Sonoma
4900,CA0490000,Sonoma County Sheriff,,,Sonoma
6449,,Sonoma County Welfare Fraud Investigations,,,Sonoma
nan,,Sonoma Police Department,,,Sonoma
nan,,Sonoma Marin Area Rail Police Department,,,Sonoma 
5010,CA0501000,CSU Stanislaus Police Department,,,Stanislaus
5001,CA0500100,Ceres Police Department,,,Stanislaus
nan,,Hughson Police Services,,,Stanislaus
5002,CA0500200,Modesto Police Department,,,Stanislaus
5003,CA0500300,Newman Police Department,,,Stanislaus
5004,CA0500400,Oakdale Police Department,,,Stanislaus
nan,,Patterson Police Department,,,Stanislaus
nan,,Riverbank Police Department,,,Stanislaus
6350,CA050013A,Stanislaus County District Attorney,,,Stanislaus
6851,CA050013G,Stanislaus County Probation Department,,,Stanislaus
5000,CA0500000,Stanislaus County Sheriff,,,Stanislaus
nan,,Stanislaus Regional 9-1-1,,,Stanislaus
5007,CA0500700,Turlock Police Department,,,Stanislaus
nan,,Amtrack Police Department,,,Statewide
nan,,California Bureau Of Cannabis Control,,,Statewide
nan,,California Department Of Financial Protection And Innovation,,,Statewide
7519,CA0341900,California Department of Fish and Wildlife,,,Statewide
7520,CA0340500,California Department of Forestry and Fire Protection (Cal Fire),,,Statewide
7522,,California Department of Industrial Relations,,,Statewide
7501,CA0341300,California Department of Insurance,,,Statewide
nan,CA0349477,California Department of Justice,,,Statewide
nan,,California Department of Managed Health Care,,,Statewide
nan,,California Department of Motor Vehicles,,,Statewide
7510,CA0341200,California Department of Parks & Recreation,,,Statewide
7558,,California Department of Public Health,,,Statewide
7538,,California Department of Social Services,,,Statewide
nan,,California Department of Toxic Substances Control,,,Statewide
3420,,California Exposition and State Fair Police Department,,,Statewide
7526,,California Horse Racing Board,,,Statewide
7546,,California Office of Emergency Services,,,Statewide
nan,,California Office of Law Enforcement Support,,,Statewide
nan,CA0344600,California Secretary of State,,,Statewide
nan,,California State Assembly Sergeant-at-Arms,,,Statewide
nan,,California State Controller's Office,,,Statewide
7548,,California State Lottery,,,Statewide
nan,,Franchise Tax Board,,,Statewide
nan,,Southern Pacific Railroad Police Department,,,Statewide
nan,,Supreme Court of California,,,Statewide
3112,,Union Pacific Railroad,,,Statewide
nan,,Live Oak Police Department,,,Sutter
6351,CA051013A,Sutter County District Attorney,,,Sutter
6451,,Sutter County Health and Human Services,,,Sutter
5100,CA0510000,Sutter County Sheriff,,,Sutter
5102,CA0510200,Yuba City Police Department,,,Sutter
5201,CA0520100,Corning Police Department,,,Tehama
5202,CA0520200,Red Bluff Police Department,,,Tehama
nan,,Tehama County Coroner's Office,,,Tehama
6352,CA052013A,Tehama County District Attorney,,,Tehama
5200,CA0520000,Tehama County Sheriff,,,Tehama
nan,,Trinidad Police Department,,,Trinity
6353,,Trinity County District Attorney,,,Trinity
nan,,Trinity County Marshal's Office,,,Trinity
6854,CA053013G,Trinity County Probation Department,,,Trinity
5300,CA0530000,Trinity County Sheriff,,,Trinity
5411,,College of the Sequoias Police Department,,,Tulare
5401,CA0540100,Dinuba Police Department,,,Tulare
5402,CA0540200,Exeter Police Department,,,Tulare
5403,CA0540300,Farmersville Police Department,,,Tulare
5404,CA0540400,Lindsay Police Department,,,Tulare
5405,CA0540500,Porterville Police Department,,,Tulare
2908,CA0290800,Truckee Police Department,,,Tulare
6354,,Tulare County District Attorney,,,Tulare
nan,,Tulare County Marshal Office,,,Tulare
6855,,Tulare County Probation Department,,,Tulare
5400,CA0540000,Tulare County Sheriff,,,Tulare
5406,CA0540600,Tulare Police Department,,,Tulare
5408,CA0540800,Woodlake Police Department,,,Tulare
5501,CA0550100,Sonora Police Department,,,Tuolumne
6355,CA055013A,Tuolumne County District Attorney,,,Tuolumne
5500,CA0550000,Tuolumne County Sheriff,,,Tuolumne
5622,CA0562200,CSU Channel Islands Police Department,,,Ventura
nan,,Fillmore Police Department,,,Ventura
nan,,Ojai Police Department,,,Ventura
5604,CA0560400,Oxnard Police Department,,,Ventura
5605,CA0560500,Port Hueneme Police Department,,,Ventura
5606,CA0560600,Santa Paula Police Department,,,Ventura
5609,CA0560900,Simi Valley Police Department,,,Ventura
5680,UR0569901,Ventura County Community College District Police Department,,,Ventura
6356,CA056023A,Ventura County District Attorney,,,Ventura
nan,,Ventura County Marshal Office,,,Ventura
nan,,Ventura County Medical Examiner's Office,,,Ventura
5600,CA0560000,Ventura County Sheriff,,,Ventura
nan,,Ventura County Social Services,,,Ventura
5608,CA0560800,Ventura Police Department,,,Ventura
nan,,Davis Independent Police Auditor,,,Yolo
5701,CA0570100,Davis Police Department,,,Yolo
5797,CA0579700,UC Davis Police Department,,,Yolo
5704,CA0570400,West Sacramento Police Department,,,Yolo
5702,CA0570200,Winters Police Department,,,Yolo
5703,CA0570300,Woodland Police Department,,,Yolo
6357,CA057013A,Yolo County District Attorney,,,Yolo
5700,CA0570000,Yolo County Sheriff,,,Yolo
nan,,Yolo Emergency Communications Agency,,,Yolo
5801,CA0580100,Marysville Police Department,,,Yuba
5802,CA0580200,Wheatland Police Department,,,Yuba
6606,,Yuba Community College Police Department,,,Yuba
6358,CA058013A,Yuba County District Attorney,,,Yuba
6859,CA058013G,Yuba County Probation Department,,,Yuba
5800,CA0580000,Yuba County Sheriff,,,Yuba
nan,,Cal State East Bay University Police Department,,,
nan,,California State Personnel Board,,,
nan,,Los Angeles District Attorney,,,
nan,,Mendocino County Probation Department,,,
nan,,Office of Inspector General,,,
6844,CA043013G,Santa Clara County Probation Department,,Santa Clara County Probation Department,
nan,,,,,
