Death Agency Number,URSUS Agency Name,Primary Name,Alternate URSUS Name,NCIC,ORI,Related County,Complaint Agency Name,gdrive_folder_name,Agency Website,CRP pra Agency name,MuckRock Agency ID,Agency Type (string),Post Name,Complaint Year,County,Complaint Type,Complaint Count,Alternate Name,resourceid,AGENCY_NAME
,,Sausalito Police Department,,2110,CA0211000,Marin County,Sausalito Police Department,Sausalito Police Department,"{""url"": ""https://www.sausalito.gov/departments/police-department/contact-us"", ""url_label"": """"}",Sausalito Police Department,12186.0,Police Department,SAUSALITO PD,,Marin,,,,5d88cb95-dc69-4f95-a51e-3a85ea1531f3,SAUSALITO PD
,,Tiburon Police Department,,2111,CA0211100,Marin County,Tiburon Police Department,Tiburon Police Department,"{""url"": ""https://www.townoftiburon.org/537/Police-Department"", ""url_label"": """"}",Tiburon Police Department,12219.0,Police Department,TIBURON PD,,Marin,,,,c8ff6a60-1835-4928-9238-acc788c72906,TIBURON PD
,,Marin Community College Police Department,,2113,CA0211300,Marin County,Marin Community College PD,Marin Community College Police Department,"{""url"": ""https://police.marin.edu/"", ""url_label"": """"}",Marin Community College Police Department,19797.0,Community College,MARIN CCD PD,,Marin,,,,969dcc40-d761-4ccd-9245-5f798a5fc9ae,MARIN COMMUNITY COLLEGE PD
,,Central Marin Police Authority,,2117,CA0211700,Marin County,Central Marin Police Authority,Central Marin Police Authority,"{""url"": ""https://www.centralmarinpolice.org/"", ""url_label"": """"}",Central Marin Police Authority,5395.0,Special District,CENTRAL MARIN POLICE AUTHORITY,,Marin,,,,a3c0ccfa-8b55-4112-8afd-8682adef4a39,CENTRAL MARIN POLICE AUTHORITY
,,Mariposa County Sheriff,,2200,CA0220000,Mariposa County,Mariposa County Sheriff's Department,Mariposa County Sheriff,"{""url"": ""https://www.mariposacounty.org/82/Sheriffs-Office"", ""url_label"": """"}",Mariposa County Sheriff,11173.0,Sheriff,"MARIPOSA CO SD, MARIPOSA CO SO",,Mariposa,,,,c09ba9eb-f9bb-4376-bcdd-c875abf81a04,MARIPOSA SD
,,Mariposa County District Attorney,,,CA022013A,Mariposa County,,Mariposa County District Attorney,"{""url"": ""https://www.mariposacounty.org/74/District-Attorney"", ""url_label"": """"}",Mariposa County District Attorney,18087.0,District Attorney,MARIPOSA CO DA,,Mariposa,,,,71fb5277-f79b-4080-96f8-cc3467caa3ab,MARIPOSA CO DISTRICT ATTORNEYS OFFICE
,,,,,CA022013G,,,,,,,,,,,,,,,MARIPOSA CO PROBATION DEPARTMENT
,,Mendocino County Sheriff,,2300,CA0230000,Mendocino County,Mendocino County Sheriff's Department,Mendocino County Sheriff,"{""url"": ""https://mendocinosheriff.org/"", ""url_label"": """"}",Mendocino County Sheriff,7366.0,Sheriff,"MENDOCINO CO SD, MENDOCINO CO SO",,Mendocino,,,,ef1ac261-32f2-48b2-a0b2-f1f7b290102e,MENDOCINO SD
,,Fort Bragg Police Department,,2301,CA0230100,Mendocino County,Fort Bragg Police Department,Fort Bragg Police Department,"{""url"": ""https://www.city.fortbragg.com/departments/police-department"", ""url_label"": """"}",Fort Bragg Police Department,19459.0,Police Department,FORT BRAGG PD,,Mendocino,,,,ceaa436e-4ab4-4a46-8f1c-abfacb199136,FORT BRAGG PD
,,,,,CA023013A,,,,,,,,,,,,,,,MENDOCINO CO DISTRICT ATTORNEYS OFFICE
,,,,,CA023013G,,,,,,,,,,,,,,,MENDOCINO CO PROBATION DEPARTMENT
,,Ukiah Police Department,,2303,CA0230300,Mendocino County,Ukiah Police Department,Ukiah Police Department,"{""url"": ""https://cityofukiah.com/departments/"", ""url_label"": """"}",Ukiah Police Department,19595.0,Police Department,UKIAH PD,,Mendocino,,,,30241528-a523-4a1c-9a8a-ab5948b3a600,UKIAH PD
,,Willits Police Department,,2304,CA0230400,Mendocino County,Willits Police Department,Willits Police Department,"{""url"": ""https://www.cityofwillits.org/148/Police"", ""url_label"": """"}",Willits Police Department,19601.0,Police Department,WILLITS PD,,Mendocino,,,,954e8c6a-685a-461a-9c44-39d10b925425,WILLITS PD
,,Merced County Sheriff,,2400,CA0240000,Merced County,Merced County Sheriff's Department,Merced County Sheriff,"{""url"": ""https://www.countyofmerced.com/3875/Sheriffs-Office"", ""url_label"": """"}",Merced County Sheriff,6566.0,Sheriff,"MERCED CO SD, MERCED CO SO",2022-01,Merced,Physical Disability Sustained,1,,54341bf7-5d07-46f9-a929-6c4a15b83c5a,MERCED SD
,,,,,CA0240100,,,,,,,,,,,,,,,ATWATER PD
,,Merced County District Attorney,,6324,CA024013A,Merced County,Merced County District Attorney,Merced County District Attorney,"{""url"": ""https://www.countyofmerced.com/3886/District-Attorney"", ""url_label"": """"}",Merced County District Attorney,18089.0,District Attorney,MERCED CO DA,,Merced,,,,8125adf9-a784-463b-a5f6-1ddc5e95a68d,MERCED CO DISTRICT ATTORNEYS OFFICE
,,Merced County Probation Department,,6824,CA024013G,Merced County,Merced County Probation Department,Merced County Probation Department,"{""url"": ""https://www.countyofmerced.com/3884/Probation"", ""url_label"": """"}",Merced County Probation Department,19505.0,Probation Department,,,Merced,,,,b5ed36c8-965d-4a3d-8eb4-77709e868b64,MERCED CO PROBATION DEPARTMENT
,,Dos Palos Police Department,,2402,CA0240200,Merced County,Dos Palos Police Department,Dos Palos Police Department,"{""url"": ""https://www.dospalospd.org/"", ""url_label"": """"}",Dos Palos Police Department,19449.0,Police Department,DOS PALOS PD,,Merced,,,,366b8a9a-159a-44f4-872f-779c5fef26ca,DOS PALOS PD
,,Gustine Police Department,,2403,CA0240300,Merced County,Gustine Police Department,Gustine Police Department,"{""url"": ""https://www.cityofgustine.com/pview.aspx?id=13856"", ""url_label"": """"}",Gustine Police Department,19469.0,Police Department,GUSTINE PD,,Merced,,,,38629be3-8768-4ac8-b77d-eda3dd775351,GUSTINE PD
,,Livingston Police Department,,2404,CA0240400,Merced County,Livingston Police Department,Livingston Police Department,"{""url"": ""https://www.cityoflivingston.org/police"", ""url_label"": """"}",Livingston Police Department,19493.0,Police Department,LIVINGSTON PD,,Merced,,,,e7b97eee-fc9e-4665-aa06-a6d445ffb46b,LIVINGSTON PD
,,Los Banos Police Department,,2405,CA0240500,Merced County,Los Banos Police Department,Los Banos Police Department,"{""url"": ""https://losbanos.org/city-government/departments/police/"", ""url_label"": """"}",Los Banos Police Department,18704.0,Police Department,LOS BANOS PD,,Merced,,,,8bdea03a-fbf1-4848-868d-c7336e95f28d,LOS BANOS PD
,,Merced Police Department,,2406,CA0240600,Merced County,Merced Police Department,Merced Police Department,"{""url"": ""https://www.cityofmerced.org/departments/police"", ""url_label"": """"}",Merced Police Department,8784.0,Police Department,MERCED PD,,Merced,,,,9e91094d-7dec-4ce7-a077-3d4cc3a91592,MERCED PD
,,UC Merced Police Department,,2412,CA0241200,Merced County,"UC Merced, University Police",UC Merced Police Department,"{""url"": ""https://police.ucmerced.edu/"", ""url_label"": """"}",UC Merced Police Department,19809.0,UC,UC MERCED PD,,Merced,,,,1a54ea8d-87bc-4fa7-8348-68d6a229ae5d,UC MERCED
,,Modoc County Sheriff,,2500,CA0250000,Modoc County,Modoc County Sheriff's Department,Modoc County Sheriff,"{""url"": ""https://www.modocsheriff.us/"", ""url_label"": """"}",Modoc County Sheriff,11177.0,Sheriff,"MODOC CO SD, MODOC CO SO",,Modoc,,,,bb2d1a6b-ca17-4f71-9322-d9a46e7428fb,MODOC SD
,,Alturas Police Department,,2501,CA0250100,Modoc County,Alturas Police Department,Alturas Police Department,"{""url"": ""http://www.cityofalturas.us/departments/public_safety/index.php"", ""url_label"": """"}",Alturas Police Department,19614.0,Police Department,ALTURAS PD,,Modoc,,,,da2a3801-f7c4-4726-b9d3-ca7d916c051d,ALTURAS PD
,,,,,CA025013G,,,,,,,,,,,,,,,MODOC CO PROBATION DEPARTMENT
,,Mono County Sheriff,,2600,CA0260000,Mono County,Mono County Sheriff's Department,Mono County Sheriff,"{""url"": ""https://monosheriff.org/sheriff"", ""url_label"": """"}",Mono County Sheriff,11176.0,Sheriff,MONO CO SD,,Mono,,,,7b583a7c-2fe6-42fc-92d6-8ff37aca816f,MONO SD
,,Mammoth Lakes Police Department,,2601,CA0260100,Mono County,Mammoth Lakes Police Department,Mammoth Lakes Police Department,"{""url"": ""https://www.townofmammothlakes.ca.gov/1123/Police"", ""url_label"": """"}",Mammoth Lakes Police Department,19622.0,Police Department,MAMMOTH LAKES PD,,Mono,,,,665317d5-5c23-4362-b388-c1bd79e4f38a,MAMMOTH LAKES PD
,,,,,CA026013G,,,,,,,,,,,,,,,MONO COUNTY PROBATION DEPARTMENT
,,Monterey County Sheriff,,2700,CA0270000,Monterey County,Monterey County Sheriff's Department,Monterey County Sheriff,"{""url"": ""https://mcso.countyofmonterey.gov/"", ""url_label"": """"}",Monterey County Sheriff,4022.0,Sheriff,MONTEREY CO SHERIFF'S OFFICE,,Monterey,,,,89f9339e-e862-4acb-8af0-529d90e91567,MONTEREY SD
,,Carmel By The Sea Police Department,,2701,CA0270100,Monterey County,Carmel Police Department,Carmel By The Sea Police Department,"{""url"": ""https://ci.carmel.ca.us/police-fire"", ""url_label"": """"}",Carmel-by-the-Sea Police Department,19737.0,Police Department,CARMEL PD,,Monterey,,,,f0b84dac-5e82-4f82-9f1a-5579dbb61a5e,CARMEL BY THE SEA PD
,,Monterey County Probation Department,,6827,CA027013G,Monterey County,Monterey County Probation Department,Monterey County Probation Department,"{""url"": ""https://www.countyofmonterey.gov/government/departments-i-z/probation"", ""url_label"": """"}",Monterey County Probation Department,19512.0,Probation Department,,,Monterey,,,,e1539ab9-85e2-4940-bf4e-7bdf026c3f66,MONTEREY COUNTY PROBATION
,,Del Rey Oaks Police Department,,2702,CA0270200,Monterey County,Del Rey Oaks Police Department,Del Rey Oaks Police Department,"{""url"": ""https://www.delreyoaks.org/police"", ""url_label"": """"}",Del Rey Oaks Police Department,6781.0,Police Department,DEL REY OAKS PD,,Monterey,,,,54d0ecfa-88cf-4855-8d7c-e3ba78b45fcb,DEL REY OAKS PD
,,Gonzales Police Department,,2703,CA0270300,Monterey County,Gonzales Police Department,Gonzales Police Department,"{""url"": ""https://gonzalesca.gov/services/police"", ""url_label"": """"}",Gonzales Police Department,19467.0,Police Department,GONZALES PD,,Monterey,,,,de9920af-d681-4e68-a165-2df73a522950,GONZALES  PD
,,Greenfield Police Department,,2704,CA0270400,Monterey County,Greenfield Police Department,Greenfield Police Department,"{""url"": ""https://ci.greenfield.ca.us/233/Police-Department"", ""url_label"": """"}",Greenfield Police Department,19468.0,Police Department,GREENFIELD PD,"2019-01, 2017-01",Monterey,"Sexual Orientation Sustained, Race Ethnicity Sustained","1, 2",,10d4b80d-3c4c-4208-ae7a-7f1fc949d988,GREENFIELD PD
,,King City Police Department,,2705,CA0270500,Monterey County,King City Police Department,King City Police Department,"{""url"": ""https://www.kingcity.com/164/Police-Department"", ""url_label"": """"}",King City Police Department,19483.0,Police Department,KING CITY PD,,Monterey,,,,06b2a51f-62fc-4d4b-8e6b-c1f247877066,KING CITY PD
,,Monterey Police Department,,2706,CA0270600,Monterey County,Monterey Police Department,Monterey Police Department,"{""url"": ""https://monterey.gov/city_hall/departments/police/"", ""url_label"": """"}",Monterey Police Department,19629.0,Police Department,MONTEREY PD,,Monterey,,,,6af60c74-c6fc-41a9-a9f9-70bc5a2b6dcf,MONTEREY PD
,,Pacific Grove Police Department,,2707,CA0270700,Monterey County,Pacific Grove Police Department,Pacific Grove Police Department,"{""url"": ""https://www.cityofpacificgrove.org/our_city/departments/police/index.php"", ""url_label"": """"}",Pacific Grove Police Department,19525.0,Police Department,PACIFIC GROVE PD,2020-01,Monterey,Race Ethnicity Sustained,1,,33f25f69-ce7a-4bde-a848-4d9a2eab0b2d,PACIFIC GROVE PD
,,Salinas Police Department,,2708,CA0270800,Monterey County,Salinas Police Department,Salinas Police Department,"{""url"": ""https://www.salinaspd.org/"", ""url_label"": """"}",Salinas Police Department,9621.0,Police Department,SALINAS PD,,Monterey,,,,e515fa35-247f-4bb3-9ae9-8a97b7d0a9d0,SALINAS PD
,,Sand City Police Department,,2709,CA0270900,Monterey County,Sand City Police Department,Sand City Police Department,"{""url"": ""https://www.sandcity.org/government/city-departments/police-department"", ""url_label"": """"}",Sand City Police Department,19552.0,Police Department,SAND CITY PD,,Monterey,,,,7f5bc2ee-6c05-451e-ab99-cf4213bcee1a,SAND CITY PD
,,Seaside Police Department,,2710,CA0271000,Monterey County,Seaside Police Department,Seaside Police Department,"{""url"": ""https://www.ci.seaside.ca.us/171/Police-Department"", ""url_label"": """"}",Seaside Police Department,19561.0,Police Department,SEASIDE PD,2022-01,Monterey,Race Ethnicity Sustained,1,,b6f3601b-321e-4050-82c1-96e1065b9d52,SEASIDE PD
,,Soledad Police Department,,2711,CA0271100,Monterey County,Soledad Police Department,Soledad Police Department,"{""url"": ""https://www.cityofsoledad.com/police-department/"", ""url_label"": """"}",Soledad Police Department,19569.0,Police Department,SOLEDAD PD,,Monterey,,,,75426ff9-bab7-4753-855e-0a635617fd04,SOLEDAD PD
,,Marina Police Department,,2712,CA0271200,Monterey County,Marina Police Department,Marina Police Department,"{""url"": ""https://cityofmarina.org/17/Police-Department"", ""url_label"": """"}",Marina Police Department,818.0,Police Department,MARINA PD,,Monterey,,,,5aec72d3-9fa7-4b38-86e6-8223d04357fe,MARINA PD
,,CSU Monterey Bay Police Department,,2719,CA0271900,Monterey County,"CSU Monterey Bay, University Police",CSU Monterey Bay Police Department,"{""url"": ""https://csumb.edu/police/"", ""url_label"": """"}",CSU Monterey Bay Police Department,19940.0,CSU,CSU MONTEREY BAY PD,,Monterey,,,,7630cfee-4c7a-4353-a494-07897af9d99e,CSU MONTEREY BAY
,,Napa County Sheriff,,2800,CA0280000,Napa County,Napa County Sheriff's Department,Napa County Sheriff,"{""url"": ""https://www.countyofnapa.org/1292/Sheriff"", ""url_label"": """"}",Napa County Sheriff,11163.0,Sheriff,"NAPA CO SD, NAPA CO SO",,Napa,,,,d61b6cfb-9086-4c23-b8ed-84ed649fa967,NAPA SD
,,Calistoga Police Department,,2801,CA0280100,Napa County,Calistoga Police Department,Calistoga Police Department,"{""url"": ""https://www.ci.calistoga.ca.us/city-hall/departments-services/police-department"", ""url_label"": """"}",Calistoga Police Department,19642.0,Police Department,CALISTOGA PD,,Napa,,,,1e94f021-7265-4d88-9221-304d6190de26,CALISTOGA PD
,,Napa County District Attorney,,6328,CA028013A,Napa County,Napa County District Attorney,Napa County District Attorney,"{""url"": ""https://www.countyofnapa.org/2086/District-Attorney"", ""url_label"": """"}",Napa County District Attorney,18093.0,District Attorney,NAPA CO DA,,Napa,,,,4248c0cd-4d59-46ef-a812-6d0fb7e015c5,NAPA CO DISTRICT ATTORNEYS OFFICE
,,Napa Police Department,,2802,CA0280200,Napa County,Napa Police Department,Napa Police Department,"{""url"": ""https://www.cityofnapa.org/323/Police-Department"", ""url_label"": """"}",Napa Police Department,19514.0,Police Department,NAPA PD,,Napa,,,,7f8c0c54-53c3-4a2b-a6d4-09f534db6b57,NAPA PD
,,St. Helena Police Department,,2803,CA0280300,Napa County,St. Helena Police Department,St. Helena Police Department,"{""url"": ""https://www.cityofsthelena.gov/235/Police"", ""url_label"": """"}",St. Helena Police Department,19572.0,Police Department,SAINT HELENA PD,,Napa,,,,ec09c395-4329-461e-a6c9-4181fd0b500c,ST. HELENA PD
,,Napa County Probation Department,,6828,CA028033G,Napa County,Napa County Probation Department,Napa County Probation Department,"{""url"": ""https://www.countyofnapa.org/1636/Probation"", ""url_label"": """"}",Napa County Probation Department,19515.0,Probation Department,,,Napa,,,,d1c5426a-f956-4b3c-bc5e-3cd6620bf563,NAPA COUNTY PROBATION DEPARTMENT
,,,,,CA0280800,,,,,,,,,,,,,,,NAPA STATE HOSPITAL
,,Napa Valley Community College Police Department,,,CA0280900,Napa County,,Napa Valley Community College Police Department,"{""url"": ""https://www.napavalley.edu/about/administrative-services/college-police/index.html"", ""url_label"": """"}",Napa Valley Community College Police Department,19798.0,Community College,NAPA VALLEY COLLEGE DPS,,Napa,,,,9866360a-b718-4d75-a8eb-1cddf2c2adc9,NAPA VALLEY COLLEGE PD
,,Nevada County Sheriff,,2900,CA0290000,Nevada County,Nevada County Sheriff's Department,Nevada County Sheriff,"{""url"": ""https://www.nevadacountyca.gov/3451/Sheriff"", ""url_label"": """"}",Nevada County Sheriff,11164.0,Sheriff,"NEVADA CO SD, NEVADA CO SO",,Nevada,,,,f3c2ce98-5700-40f8-afb8-dd42bd413853,NEVADA SD
,,Grass Valley Police Department,,2901,CA0290100,Nevada County,Grass Valley Police Department,Grass Valley Police Department,"{""url"": ""https://www.cityofgrassvalley.com/police-department"", ""url_label"": """"}",Grass Valley Police Department,19619.0,Police Department,GRASS VALLEY PD,,Nevada,,,,3f3cfec3-9701-49ea-ba6b-b7e0ab6703aa,GRASS VALLEY PD
,,Nevada City Police Department,,2902,CA0290200,Nevada County,Nevada City Police Department,Nevada City Police Department,"{""url"": ""https://www.nevadacityca.gov/pview.aspx?id=20708&catid=0"", ""url_label"": """"}",Nevada City Police Department,19616.0,Police Department,NEVADA CITY PD,,Nevada,,,,9bd6250a-6e26-4c7e-8723-0436726f4e2c,NEVADA CITY PD
,,Truckee Police Department,,2908,CA0290800,Tulare County,Truckee Police Department,Truckee Police Department,"{""url"": ""https://www.truckeepolice.gov/"", ""url_label"": """"}",Truckee Police Department,19591.0,Police Department,TRUCKEE PD,,Tulare,,,,8bbabcb2-d1d8-4db5-bb58-2b76f060e2a5,TRUCKEE PD
,,Orange County Sheriff,,3000,CA0300000,Orange County,Orange County Sheriff's Department,Orange County Sheriff,"{""url"": ""https://www.ocsheriff.gov/"", ""url_label"": """"}",Orange County Sheriff,805.0,Sheriff,ORANGE CO SD/CORONER,"2020-01, 2019-01, 2019-01, 2019-01, 2018-01, 2017-01, 2017-01",Orange,"Nationality Sustained, Race Ethnicity Sustained, Nationality Sustained, Sexual Orientation Sustained, Race Ethnicity Sustained, Race Ethnicity Sustained, Sexual Orientation Sustained","1, 1, 1, 1, 1, 1, 1",,22453027-4ab0-45d0-a50f-73bd29ace913,ORANGE SD
300100.0,,Anaheim Police Department,,3001,CA0300100,Orange County,Anaheim Police Department,Anaheim Police Department,"{""url"": ""https://www.anaheim.net/6098/Police-Department"", ""url_label"": """"}",Anaheim Police Department,429.0,Police Department,ANAHEIM PD,,Orange,,,,0951c866-e8e8-4405-a47c-82f05c8344cc,ANAHEIM PD
,,Orange County District Attorney,,6330,CA030013A,Orange County,Orange County District Attorney,Orange County District Attorney,"{""url"": ""https://orangecountyda.org/"", ""url_label"": """"}",Orange County District Attorney,7464.0,District Attorney,"ORANGE CO DA, ORANGE CO DA WELFARE",,Orange,,,,5ee4c03e-1e53-456a-88af-01582c693c22,ORANGE CO DISTRICT ATTORNEYS OFFICE
,,Orange County Probation Department,,6830,CA030013G,Orange County,Orange County Probation Department,Orange County Probation Department,"{""url"": ""https://ocprobation.ocgov.com/"", ""url_label"": """"}",Orange County Probation Department,19520.0,Probation Department,,,Orange,,,,3090b036-2a76-4249-8917-e8a8dfc4fba0,ORANGE CO PROBATION DEPARTMENT
,,Brea Police Department,,3002,CA0300200,Orange County,Brea Police Department,Brea Police Department,"{""url"": ""https://www.cityofbrea.gov/1595/Police-Services"", ""url_label"": """"}",Brea Police Department,11851.0,Police Department,BREA PD,,Orange,,,,94696ec8-ee82-4197-b062-10b05c9a65c7,BREA PD
,,Buena Park Police Department,,3003,CA0300300,Orange County,Buena Park Police Department,Buena Park Police Department,"{""url"": ""https://www.bppd.com/"", ""url_label"": """"}",Buena Park Police Department,11857.0,Police Department,BUENA PARK PD,,Orange,,,,b24cb685-86bb-4c0e-a733-c610c87b27bd,BUENA PARK PD
,,Costa Mesa Police Department,,3004,CA0300400,Orange County,Costa Mesa Police Department,Costa Mesa Police Department,"{""url"": ""https://www.costamesaca.gov/government/departments-and-divisions/police"", ""url_label"": """"}",Costa Mesa Police Department,8991.0,Police Department,COSTA MESA PD,,Orange,,,,d5ef4b97-2899-4946-a90d-30ba333bc9ea,COSTA MESA PD
,,Cypress Police Department,,3005,CA0300500,Orange County,Cypress Police Department,Cypress Police Department,"{""url"": ""https://www.cypressca.org/departments/police/inside-cypress-pd"", ""url_label"": """"}",Cypress Police Department,5636.0,Police Department,CYPRESS PD,,Orange,,,,39a581d8-696b-4b08-9fe9-d8b3d841c4e2,CYPRESS PD
,,La Palma Police Department,,3006,CA0300600,Orange County,La Palma Police Department,La Palma Police Department,"{""url"": ""https://www.cityoflapalma.org/153/Police"", ""url_label"": """"}",La Palma Police Department,12023.0,Police Department,LA PALMA PD,,Orange,,,,e05276fe-43ae-4cfc-90a6-625bb0e280cf,LA PALMA PD
,,Fountain Valley Police Department,,3007,CA0300700,Orange County,Fountain Valley Police Department,Fountain Valley Police Department,"{""url"": ""https://www.fountainvalley.gov/1471/Police-Department"", ""url_label"": """"}",Fountain Valley Police Department,11960.0,Police Department,FOUNTAIN VALLEY PD,,Orange,,,,e7fce76c-9cd5-41f6-8d03-ab575b6dab30,FOUNTAIN VALLEY PD
,,Fullerton Police Department,,3008,CA0300800,Orange County,Fullerton Police Department,Fullerton Police Department,"{""url"": ""https://www.cityoffullerton.com/government/departments/police"", ""url_label"": """"}",Fullerton Police Department,9336.0,Police Department,FULLERTON PD,,Orange,,,,e4f3693e-953f-4010-8d84-f9baa7cd66d9,FULLERTON PD
,,Garden Grove Police Department,,3009,CA0300900,Orange County,Garden Grove Police Department,Garden Grove Police Department,"{""url"": ""https://ggcity.org/police"", ""url_label"": """"}",Garden Grove Police Department,6519.0,Police Department,GARDEN GROVE PD,,Orange,,,,69d4a2bf-e317-458e-8535-7d15fe6de105,GARDEN GROVE PD
,,Huntington Beach Police Department,,3010,CA0301000,Orange County,Huntington Beach Police Department,Huntington Beach Police Department,"{""url"": ""https://www.huntingtonbeachca.gov/departments/police/index.php"", ""url_label"": """"}",Huntington Beach Police Department,5513.0,Police Department,HUNTINGTON BEACH PD,,Orange,,,,d5ec2f7e-9a1a-470d-8720-e7d2868dd80b,HUNTINGTON BEACH PD
,,Laguna Beach Police Department,,3011,CA0301100,Orange County,Laguna Beach Police Department,Laguna Beach Police Department,"{""url"": ""https://www.lagunabeachcity.net/government/departments/police"", ""url_label"": """"}",Laguna Beach Police Department,12025.0,Police Department,LAGUNA BEACH PD,,Orange,,,,371097fa-7c8f-48c6-91cb-fe32704cba1a,LAGUNA BEACH PD
,,La Habra Police Department,,3012,CA0301200,Orange County,La Habra Police Department,La Habra Police Department,"{""url"": ""https://www.lahabraca.gov/227/Police-Department"", ""url_label"": """"}",La Habra Police Department,12022.0,Police Department,LA HABRA PD,,Orange,,,,7d01daca-b04d-49e1-891e-6bb7560ff8bf,LA HABRA PD
,,Los Alamitos Police Department,,3013,CA0301300,Orange County,Los Alamitos Police Department,Los Alamitos Police Department,"{""url"": ""https://cityoflosalamitos.org/158/Police-Department"", ""url_label"": """"}",Los Alamitos Police Department,12045.0,Police Department,LOS ALAMITOS PD,,Orange,,,,c49e36f0-42c4-4fa9-82c1-357a384e7853,LOS ALAMITOS PD
,,Newport Beach Police Department,,3014,CA0301400,Orange County,Newport Beach Police Department,Newport Beach Police Department,"{""url"": ""https://www.nbpd.org/"", ""url_label"": """"}",Newport Beach Police Department,12103.0,Police Department,NEWPORT BEACH PD,,Orange,,,,6fb75b90-525f-4eb2-88ca-9254472acb4f,NEWPORT BEACH PD
,,Orange Police Department,,3015,CA0301500,Orange County,Orange Police Department,Orange Police Department,"{""url"": ""https://www.cityoforange.org/residents/police"", ""url_label"": """"}",Orange Police Department,7604.0,Police Department,ORANGE PD,"2022-01, 2022-01",Orange,"Race Ethnicity Sustained, Sexual Orientation Sustained","1, 1",,c37d18e2-2a75-43a4-9bb5-2474b00d9e92,ORANGE PD
,,Placentia Police Department,,3016,CA0301600,Orange County,Placentia Police Department,Placentia Police Department,"{""url"": ""https://www.placentia.org/17/Police"", ""url_label"": """"}",Placentia Police Department,7602.0,Police Department,PLACENTIA PD,,Orange,,,,3f16b793-4fb2-45e3-b4bf-94372cac52e5,PLACENTIA PD
,,Santa Ana Police Department,,3019,CA0301900,Orange County,Santa Ana Police Department,Santa Ana Police Department,"{""url"": ""https://www.santa-ana.org/departments/police/"", ""url_label"": """"}",Santa Ana Police Department,5221.0,Police Department,SANTA ANA PD,,Orange,,,,aa56b1be-21f6-49bf-803b-14189c26d128,SANTA ANA PD
,,Seal Beach Police Department,,3020,CA0302000,Orange County,Seal Beach Police Department,Seal Beach Police Department,"{""url"": ""https://sealbeachpd.com/"", ""url_label"": """"}",Seal Beach Police Department,6989.0,Police Department,SEAL BEACH PD,,Orange,,,,f2671a4d-171b-4f05-a805-089ed8255c6e,SEAL BEACH PD
,,Tustin Police Department,,3022,CA0302200,Orange County,Tustin Police Department,Tustin Police Department,"{""url"": ""https://www.tustinca.org/1321/Police"", ""url_label"": """"}",Tustin Police Department,12230.0,Police Department,TUSTIN PD,,Orange,,,,6bdcf71b-d891-41df-a22d-092ee33aac74,TUSTIN PD
,,Westminster Police Department,,3024,CA0302400,Orange County,Westminster Police Department,Westminster Police Department,"{""url"": ""https://www.westminster-ca.gov/departments/police/how-do-i/contact"", ""url_label"": """"}",Westminster Police Department,12266.0,Police Department,WESTMINSTER PD,,Orange,,,,79209f0f-b85c-474d-a2d4-494585e0d51f,WESTMINSTER PD
,,Irvine Police Department,,3026,CA0302600,Orange County,Irvine Police Department,Irvine Police Department,"{""url"": ""https://www.cityofirvine.org/irvine-police-department"", ""url_label"": """"}",Irvine Police Department,5232.0,Police Department,IRVINE PD,,Orange,,,,2c1d8373-3f32-4497-9880-5507c6b37450,IRVINE PD
,,CSU Fullerton Police Department,,3027,CA0302700,Orange County,"CSU Fullerton, University Police",CSU Fullerton Police Department,"{""url"": ""https://police.fullerton.edu/"", ""url_label"": """"}",CSU Fullerton Police Department,19819.0,CSU,CSU FULLERTON PD,,Orange,,,,73c39cec-2c26-4d88-a6fd-a80c818e2b6a,CSU FULLERTON
,,,,,CA0309600,,,,,,,,,,,,,,,IRVINE VALLEY COLLEGE PD
,,UC Irvine Police Department,,3097,CA0309700,Orange County,"UC Irvine PD, University Police",UC Irvine Police Department,"{""url"": ""https://www.police.uci.edu/"", ""url_label"": """"}",UC Irvine Police Department,19831.0,UC,UC IRVINE PD,,Orange,,,,5d272145-e5c5-4fa9-8ec8-719fbfc6266a,UC IRVINE
,,Placer County Sheriff,,3100,CA0310000,Placer County,Placer County Sheriff's Department,Placer County Sheriff,"{""url"": ""https://www.placer.ca.gov/1680/Sheriffs-Office"", ""url_label"": """"}",Placer County Sheriff,5728.0,Sheriff,"PLACER COUNTY SD, PLACER COUNTY SO",,Placer,,,,6459ad81-c9f1-4984-9ee5-d1fcf91391d9,PLACER SD
,,Auburn Police Department,,3101,CA0310100,Placer County,Auburn Police Department,Auburn Police Department,"{""url"": ""https://www.auburn.ca.gov/168/Police"", ""url_label"": """"}",Auburn Police Department,11818.0,Police Department,AUBURN PD,,Placer,,,,06f7480f-6733-4a91-b08b-77ae8890ac69,AUBURN PD
,,Placer County District Attorney,,6331,CA031013A,Placer County,Placer County District Attorney,Placer County District Attorney,"{""url"": ""https://www.placer.ca.gov/8138/District-Attorney"", ""url_label"": """"}",Placer County District Attorney,18096.0,District Attorney,PLACER CO DA,,Placer,,,,d83d30cb-7295-4ebd-a82c-6f65e55af32f,PLACER CO DISTRICT ATTORNEYS OFFICE
